col1,APOGEE_ID,TELESCOPE,LOCATION_ID,FIELD,RA,DEC,GLON,GLAT,J,J_ERR,H,H_ERR,K,K_ERR,NVISITS,SNR,VHELIO_AVG,VSCATTER,VERR,GAIAEDR3_SOURCE_ID,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_PHOT_G_MEAN_MAG,GAIAEDR3_PHOT_BP_MEAN_MAG,GAIAEDR3_PHOT_RP_MEAN_MAG,GAIAEDR3_DR2_RADIAL_VELOCITY,GAIAEDR3_DR2_RADIAL_VELOCITY_ERROR
2M01575297-0316508,2M01575297-0316508,apo25m,5167,160-60,29.470726,-3.280803,159.46046585342907,-61.34743824534071,9.407,0.027,8.846,0.049,8.731,0.023,4,387.48257,156.33643,0.040002797,0.02856381,2504584997269760128,0.42799813,0.0211407,22.29262,0.0240229,-9.934474,0.0182682,10.9611,11.4934,10.2729,155.266,0.471931
2M01575297-0316508,2M01575297-0316508,apo25m,4472,SgrO2,29.470726,-3.280803,159.46046585342907,-61.34743824534071,9.407,0.027,8.846,0.049,8.731,0.023,3,288.9955,138.35522,0.09855717,0.02476155,2504584997269760128,0.42799813,0.0211407,22.29262,0.0240229,-9.934474,0.0182682,10.9611,11.4934,10.2729,155.266,0.471931
2M05120630-5913438,2M05120630-5913438,lco25m,5881,267-36-O_TESS,78.026264,-59.228855,268.0785345673312,-35.662986679128394,9.051,0.027,8.488,0.038,8.412,0.029,1,326.91104,49.361763,0.0,0.023853993,4762908900638502912,0.9221327,0.0132343,15.89149,0.0149253,4.276726,0.0158658,10.4915,10.9693,9.85177,49.5296,0.320796
2M10022398+0216045,2M10022398+0216045,apo25m,2683,238+42_MGA,150.59994,2.267932,237.1320627037604,42.54849376870045,8.351,0.032,7.634,0.046,7.464,0.017,2,591.41034,96.29422,0.01067792,0.025129532,3836076192478629248,0.37892795,0.0191754,-1.5396363,0.0180508,-5.507546,0.0160115,10.2333,10.9163,9.43563,99.0397,0.692492
2M10071742+0605101,2M10071742+0605101,apo25m,2492,235+46_MGA,151.8226,6.086156,233.70532727357846,45.71436189755948,9.002,0.02,8.323,0.047,8.155,0.029,3,513.96216,-16.259817,0.08375658,0.036100745,3873522466144367360,0.15434274,0.0167649,-0.49725035,0.0174514,-10.3571,0.0172567,10.8795,11.5998,10.059,-17.0424,0.545848
2M11173689+0645217,2M11173689+0645217,apo25m,4510,250+60,169.403737,6.756034,251.10052607873993,59.81647852570204,8.973,0.023,8.46,0.073,8.367,0.038,3,349.16116,3.8724477,0.09697314,0.025311986,3817650576620774912,1.1026559,0.0224707,0.28184396,0.0246978,4.495465,0.0281982,10.4921,10.9969,9.82613,3.98236,0.219302
2M18461977-3021506,2M18461977-3021506,apo25m,4381,SGRC3,281.582414,-30.364075,4.932407119566889,-12.320533964636969,8.339,0.026,7.585,0.044,7.405,0.031,1,284.90936,-226.08293,0.0,0.026238838,6737314609413011712,0.2487759,0.0197406,-8.587184,0.0192863,-17.646534,0.0154744,10.5269,11.3535,9.64026,-224.02,0.682294
2M23513172-0312308,2M23513172-0312308,apo25m,5949,K2_C12_089-63_btx,357.882193,-3.208574,89.44180294609866,-62.11979394187712,8.231,0.023,7.5,0.04,7.281,0.02,1,605.53674,-70.238495,0.0,0.022970177,2447417402012872960,0.32625628,0.0220748,-5.9935617,0.0255174,-1.5719424,0.0168034,10.2712,11.0411,9.41876,-70.3512,0.214437
2M06040390-5600065,2M06040390-5600065,lco25m,7064,265-29-O_TESS,91.016266,-56.001823,264.3309478221957,-28.696547717223584,9.669,0.023,9.156,0.024,9.044,0.023,1,296.3407,96.36079,0.0,0.029129434,5499230534722384000,0.7111006,0.0140075,7.244651,0.0181807,21.634024,0.0190872,11.1926,11.6932,10.528,96.6305,0.365469
2M22045404-1148287,2M22045404-1148287,lco25m,5451,046-47-O,331.225197,-11.807978,46.043390861430595,-48.10842741739284,8.478,0.03,7.84,0.034,7.752,0.029,3,547.0502,-172.38957,0.12754008,0.03425204,2613467159867601152,0.63065994,0.022833,-3.5933268,0.024325,-6.225501,0.0205814,10.1903,10.8024,9.44184,-173.084,0.514092
